Athlete,Sport,Date,Session,Speed,Agility,Strength,Endurance,Flexibility
Kyle Stanley,Running,2024-08-05,Session 1,93.54,55.61,59.25,71.93,82.98
Kyle Stanley,Running,2024-09-05,Session 2,87.83,94.31,79.4,63.24,54.51
Kyle Stanley,Running,2025-02-05,Session 3,57.98,86.25,74.43,66.27,67.9
Kyle Stanley,Running,2024-07-26,Session 4,59.29,78.6,99.06,57.09,63.91
Kyle Stanley,Running,2024-09-02,Session 5,69.17,81.07,80.12,90.11,93.28
Ruben Martinez,Tennis,2024-06-22,Session 1,65.92,68.08,78.5,58.45,98.59
Ruben Martinez,Tennis,2024-05-01,Session 2,66.81,88.57,78.47,83.96,67.91
Ruben Martinez,Tennis,2025-02-15,Session 3,86.32,89.48,69.8,50.12,62.04
Ruben Martinez,Tennis,2024-12-10,Session 4,73.74,76.25,66.98,96.14,56.09
Ruben Martinez,Tennis,2024-05-13,Session 5,53.75,81.94,83.57,91.74,59.95
Johnny Herring,Gymnastics,2024-10-27,Session 1,68.59,59.45,71.75,67.76,89.99
Johnny Herring,Gymnastics,2025-03-12,Session 2,63.67,86.44,89.5,94.61,98.57
Johnny Herring,Gymnastics,2025-03-08,Session 3,52.05,98.79,52.52,62.33,60.29
Johnny Herring,Gymnastics,2024-12-17,Session 4,81.21,64.72,71.63,54.0,79.3
Johnny Herring,Gymnastics,2024-09-25,Session 5,85.68,60.07,71.05,64.38,65.38
Jennifer Vincent,Cycling,2024-05-20,Session 1,60.91,70.03,81.04,61.12,51.64
Jennifer Vincent,Cycling,2025-01-09,Session 2,95.76,79.7,60.97,58.51,99.18
Jennifer Vincent,Cycling,2024-12-02,Session 3,98.69,76.78,60.93,55.9,62.68
Jennifer Vincent,Cycling,2025-03-21,Session 4,91.29,64.43,60.62,59.65,69.8
Jennifer Vincent,Cycling,2024-05-27,Session 5,75.75,70.1,64.04,79.25,72.84
Jenna Williamson,Soccer,2024-04-30,Session 1,93.68,76.9,92.82,50.0,83.36
Jenna Williamson,Soccer,2025-04-14,Session 2,64.08,79.85,67.25,85.54,98.44
Jenna Williamson,Soccer,2024-12-28,Session 3,85.85,69.16,86.79,58.48,50.77
Jenna Williamson,Soccer,2024-08-22,Session 4,61.73,76.01,59.54,74.62,60.05
Jenna Williamson,Soccer,2024-11-10,Session 5,98.62,91.72,99.01,88.38,81.42
Jeffery Morse,Gymnastics,2024-05-03,Session 1,78.65,72.9,98.71,61.83,54.76
Jeffery Morse,Gymnastics,2024-09-25,Session 2,63.4,54.56,73.0,70.77,72.78
Jeffery Morse,Gymnastics,2024-11-21,Session 3,74.55,70.36,79.36,67.34,84.63
Jeffery Morse,Gymnastics,2024-06-08,Session 4,65.94,83.32,90.02,51.2,56.84
Jeffery Morse,Gymnastics,2025-04-23,Session 5,94.23,59.87,50.3,97.5,52.97
Theodore Rodriguez,Tennis,2024-06-20,Session 1,75.65,95.01,82.9,88.82,99.59
Theodore Rodriguez,Tennis,2024-11-11,Session 2,74.14,97.86,61.58,80.78,67.6
Theodore Rodriguez,Tennis,2024-08-09,Session 3,58.62,59.62,52.3,59.03,75.06
Theodore Rodriguez,Tennis,2025-02-05,Session 4,55.98,52.16,66.43,70.93,79.51
Theodore Rodriguez,Tennis,2024-06-02,Session 5,79.68,99.4,61.79,89.75,90.58
William Allen,Gymnastics,2024-08-06,Session 1,64.48,50.55,62.25,72.95,86.45
William Allen,Gymnastics,2025-01-15,Session 2,84.45,87.39,69.76,80.51,66.57
William Allen,Gymnastics,2024-06-27,Session 3,88.84,66.88,54.74,69.78,77.35
William Allen,Gymnastics,2024-08-15,Session 4,50.75,80.66,86.98,88.63,89.85
William Allen,Gymnastics,2024-08-07,Session 5,95.61,65.04,70.18,77.98,69.64
Charles Ray,Running,2025-04-03,Session 1,84.48,65.48,72.16,96.87,78.69
Charles Ray,Running,2024-11-22,Session 2,78.39,58.51,59.09,55.93,54.38
Charles Ray,Running,2024-06-22,Session 3,84.55,82.99,53.08,82.49,99.62
Charles Ray,Running,2024-10-20,Session 4,60.2,64.76,53.83,84.77,95.02
Charles Ray,Running,2025-02-16,Session 5,90.92,64.95,89.95,70.5,85.9
Debbie Garza,Rowing,2024-05-29,Session 1,71.91,68.0,65.96,57.36,92.53
Debbie Garza,Rowing,2024-08-26,Session 2,79.34,85.62,60.08,62.91,86.86
Debbie Garza,Rowing,2024-12-29,Session 3,94.3,51.73,70.17,64.58,71.02
Debbie Garza,Rowing,2025-01-16,Session 4,55.64,71.13,71.25,72.88,94.36
Debbie Garza,Rowing,2024-08-30,Session 5,53.51,63.08,67.96,75.38,96.83
